limit,mean,std,thread
100,0.0002772,5.553737480291988e-05,1
1000,0.0002933,2.491786507708876e-05,1
10000,0.0012022,7.51247850801141e-05,1
100000,0.0108197,0.0013278101479085361,1
1000000,0.1769808,0.03260084710828504,1
10000000,2.0044305000000002,0.17385373969661969,1
100000000,23.706018399999998,0.7686785885794468,1
limit,mean,std,thread
100,0.0005279,0.00032181134915419695,2
1000,0.0005475,0.00019671990804751363,2
10000,0.0017364000000000001,0.00039873862226888544,2
100000,0.012291400000000001,0.003628079571588498,2
1000000,0.13019730000000002,0.029510127719329017,2
10000000,2.1768656,0.1718378414508542,2
100000000,23.491550699999998,0.9377606533866908,2
limit,mean,std,thread
100,0.0008678999999999999,0.0004404188536684898,4
1000,0.0011442000000000002,0.000406808663733811,4
10000,0.0023098,0.00039731006643286653,4
100000,0.0166075,0.0046495395769664966,4
1000000,0.1364197,0.026679016440516196,4
10000000,2.103202,0.15432595146636868,4
100000000,22.542106999999998,0.7838235985516412,4
limit,mean,std,thread
100,0.0008996000000000001,0.00022728063905420737,8
1000,0.0018731000000000002,0.0005254518584566578,8
10000,0.0031019999999999997,0.0006919738273791702,8
100000,0.0151231,0.004893402938878242,8
1000000,0.1192789,0.021942411244234555,8
10000000,2.1062637,0.16476910239959033,8
100000000,23.1700984,0.8425506165413847,8
